id,acc,pre,rec,f1s,iou
0,0.975308,0.919708,0.992126,0.954545,0.913043
1,0.887032,0.832827,0.889610,0.860283,0.754821
2,0.711190,0.515957,0.570588,0.541899,0.371648
3,0.721560,0.845455,0.472081,0.605863,0.434579
4,0.872914,0.827586,0.795580,0.811268,0.682464
5,0.836043,0.656140,0.846154,0.739130,0.586207
6,0.896248,0.812500,0.846154,0.828986,0.707921
7,0.839729,0.950617,0.693694,0.802083,0.669565
8,0.525695,0.408451,0.214815,0.281553,0.163842
9,0.926399,0.810680,0.917582,0.860825,0.755656
10,0.614998,0.588235,0.384615,0.465116,0.303030
11,0.847498,0.800000,0.751381,0.774929,0.632558
12,0.783606,0.634518,0.686813,0.659631,0.492126
13,0.737609,0.420290,0.591837,0.491525,0.325843
14,0.725675,0.975000,0.457031,0.622340,0.451737
15,0.748495,0.888889,0.524017,0.659341,0.491803
16,0.935576,0.892045,0.902299,0.897143,0.813472
17,0.978166,0.886700,0.994475,0.937500,0.882353
18,0.926389,0.902174,0.882979,0.892473,0.805825
19,0.950764,0.770751,1.000000,0.870536,0.770751
20,0.741630,0.606557,0.603261,0.604905,0.433594
21,0.695751,0.712329,0.466368,0.563686,0.392453
22,0.866501,0.804196,0.777027,0.790378,0.653409
23,0.934345,0.864162,0.967638,0.912977,0.839888
24,0.973299,0.865772,0.977273,0.918149,0.848684
25,0.838716,0.963235,0.685864,0.801223,0.668367
26,0.966837,0.865471,0.984694,0.921241,0.853982
27,0.757151,0.496063,0.724138,0.588785,0.417219
28,0.930191,0.917889,0.923304,0.920588,0.852861
29,0.877174,0.831461,0.804348,0.817680,0.691589
30,0.868794,0.959302,0.750000,0.841837,0.726872
31,0.624308,0.900000,0.267327,0.412214,0.259615
32,0.815389,0.818182,0.717391,0.764479,0.618750
33,0.525162,0.818182,0.053571,0.100559,0.052941
34,0.515354,0.266667,0.138728,0.182510,0.100418
35,0.565010,0.471154,0.226852,0.306250,0.180812
36,0.918184,0.971014,0.842767,0.902357,0.822086
37,0.791845,0.731132,0.685841,0.707763,0.547703
38,0.980410,0.907834,0.994949,0.949398,0.903670
39,0.691955,0.597510,0.566929,0.581818,0.410256
40,0.913266,0.812834,0.883721,0.846797,0.734300
41,0.925625,0.928934,0.875598,0.901478,0.820628
42,0.863464,0.974359,0.736434,0.838852,0.722433
43,0.751159,0.646707,0.600000,0.622478,0.451883
44,0.922484,0.942308,0.859649,0.899083,0.816667
45,0.708255,0.548193,0.538462,0.543284,0.372951
46,0.938677,0.900943,0.913876,0.907363,0.830435
47,0.817069,0.718631,0.771429,0.744094,0.592476
48,0.896605,0.833333,0.853659,0.843373,0.729167
49,0.654493,0.893939,0.320652,0.472000,0.308901
50,0.945219,0.925373,0.916256,0.920792,0.853211
51,0.883285,0.740741,0.860215,0.796020,0.661157
52,0.716347,0.581633,0.572864,0.577215,0.405694
53,0.778467,0.744770,0.674242,0.707753,0.547692
54,0.517002,0.431373,0.475309,0.452276,0.292220
55,0.948783,0.944444,0.918919,0.931507,0.871795
56,0.965653,0.920000,0.958333,0.938776,0.884615
57,0.932577,0.890909,0.907407,0.899083,0.816667
58,0.871002,0.910256,0.806818,0.855422,0.747368
59,0.829391,0.675781,0.804651,0.734607,0.580537
60,0.511765,1.000000,0.023529,0.045977,0.023529
61,0.715392,0.846561,0.493827,0.623782,0.453258
62,0.703801,0.557214,0.560000,0.558603,0.387543
63,0.809529,0.853333,0.656410,0.742029,0.589862
64,0.701083,0.883495,0.423256,0.572327,0.400881
65,0.818408,0.857143,0.676471,0.756164,0.607930
66,0.827445,0.918455,0.694805,0.791128,0.654434
67,0.958325,0.863158,0.959064,0.908587,0.832487
68,0.925506,0.964029,0.858974,0.908475,0.832298
69,0.807324,0.862595,0.693252,0.768707,0.624309
70,0.678878,0.798246,0.399123,0.532164,0.362550
