round,area,perbuilding,fixbuilding
0,1.831,0.147,0.141
1,1.441,0.131,0.144
2,1.423,0.132,0.141
3,1.438,0.131,0.142
4,1.455,0.129,0.140
5,1.405,0.129,0.145
6,1.443,0.130,0.143
7,1.436,0.131,0.143
8,1.407,0.129,0.143
9,1.446,0.131,0.141
10,1.365,0.128,0.138
11,1.434,0.128,0.143
12,1.433,0.129,0.141
13,1.432,0.130,0.145
14,1.403,0.127,0.142
15,1.412,0.129,0.143
16,1.422,0.130,0.144
17,1.428,0.129,0.145
18,1.437,0.128,0.140
19,1.430,0.139,0.143
20,1.432,0.126,0.142
21,1.430,0.136,0.143
22,1.423,0.132,0.148
23,1.439,0.128,0.145
24,1.472,0.130,0.140
25,1.439,0.128,0.143
26,1.451,0.133,0.142
27,1.427,0.131,0.144
28,1.379,0.131,0.142
29,1.436,0.130,0.141
30,1.445,0.133,0.141
31,1.463,0.132,0.137
32,1.458,0.132,0.144
33,1.455,0.130,0.143
34,1.441,0.131,0.144
35,1.448,0.136,0.145
36,1.462,0.131,0.146
37,1.460,0.130,0.145
38,1.417,0.130,0.144
39,1.468,0.130,0.138
40,1.452,0.132,0.143
41,1.428,0.129,0.142
42,1.441,0.129,0.142
43,1.465,0.127,0.141
44,1.459,0.129,0.149
45,1.392,0.130,0.139
46,1.451,0.131,0.148
47,1.461,0.134,0.143
48,1.441,0.129,0.145
49,1.448,0.133,0.140
50,1.427,0.129,0.146
51,1.461,0.130,0.140
52,1.456,0.133,0.147
53,1.451,0.129,0.142
54,1.420,0.131,0.139
55,1.435,0.131,0.143
56,1.451,0.129,0.140
57,1.436,0.129,0.143
58,1.444,0.133,0.141
59,1.461,0.130,0.144
60,1.437,0.128,0.138
61,1.441,0.131,0.137
62,1.414,0.131,0.142
63,1.459,0.129,0.144
64,1.453,0.130,0.139
65,1.463,0.135,0.140
66,1.450,0.130,0.140
67,1.402,0.129,0.140
68,1.387,0.130,0.140
69,1.439,0.129,0.140
70,1.397,0.131,0.138
71,1.442,0.135,0.138
72,1.425,0.131,0.141
73,1.467,0.128,0.143
74,1.449,0.132,0.147
75,1.475,0.134,0.136
76,1.440,0.130,0.141
77,1.475,0.130,0.138
78,1.445,0.136,0.139
79,1.473,0.130,0.147
80,1.447,0.129,0.145
81,1.439,0.128,0.141
82,1.454,0.134,0.139
83,1.430,0.128,0.138
84,1.465,0.134,0.143
85,1.450,0.129,0.138
86,1.493,0.130,0.141
87,1.417,0.131,0.143
88,1.504,0.132,0.140
89,1.450,0.133,0.139
90,1.428,0.129,0.145
91,1.471,0.133,0.143
92,1.439,0.128,0.139
93,1.462,0.134,0.140
94,1.446,0.130,0.145
95,1.454,0.131,0.142
96,1.446,0.130,0.140
97,1.434,0.130,0.136
98,1.442,0.130,0.140
99,1.445,0.130,0.136
100,1.445,0.141,0.140
101,1.447,0.140,0.138
102,1.414,0.133,0.135
103,1.439,0.128,0.141
104,1.434,0.131,0.137
105,1.399,0.130,0.147
106,1.435,0.130,0.140
107,1.439,0.128,0.143
108,1.434,0.132,0.139
109,1.464,0.129,0.143
110,1.466,0.134,0.138
111,1.434,0.130,0.142
112,1.454,0.130,0.146
113,1.450,0.133,0.141
114,1.445,0.131,0.141
115,1.449,0.130,0.139
116,1.448,0.133,0.138
117,1.463,0.135,0.148
