id,acc,pre,rec,f1s,iou
0,0.930973,0.965066,0.876984,0.918919,0.850000
1,0.917771,0.836207,0.902326,0.868009,0.766798
2,0.967320,1.000000,0.934641,0.966216,0.934641
3,0.976378,0.920000,1.000000,0.958333,0.920000
4,0.988071,0.996283,0.978102,0.987109,0.974545
5,1.000000,1.000000,1.000000,1.000000,1.000000
6,0.915105,0.900763,0.880597,0.890566,0.802721
7,0.960525,0.935115,0.953307,0.944123,0.894161
8,0.970652,0.923077,1.000000,0.960000,0.923077
9,0.942404,0.929825,0.913793,0.921739,0.854839
10,0.950000,0.875676,1.000000,0.933718,0.875676
11,0.885998,0.875000,0.836957,0.855556,0.747573
12,0.939012,0.969349,0.893993,0.930147,0.869416
13,0.977082,0.964744,0.977273,0.970968,0.943574
14,0.945765,0.934783,0.918803,0.926724,0.863454
15,0.986957,0.964286,1.000000,0.981818,0.964286
16,0.901989,0.891738,0.891738,0.891738,0.804627
17,0.947245,0.958015,0.916058,0.936567,0.880702
18,0.765756,0.749104,0.678571,0.712095,0.552910
19,0.931330,0.865801,0.917431,0.890869,0.803213
20,0.947566,0.816993,1.000000,0.899281,0.816993
21,0.937476,0.948837,0.894737,0.920993,0.853556
22,0.915727,0.853933,0.904762,0.878613,0.783505
23,0.957386,0.952381,0.937500,0.944882,0.895522
24,0.816467,0.804124,0.821053,0.812500,0.684211
25,0.984230,0.935115,1.000000,0.966469,0.935115
26,0.844595,0.875486,0.755034,0.810811,0.681818
27,0.985669,0.966790,0.988679,0.977612,0.956204
28,0.787769,0.622857,0.828897,0.711256,0.551899
29,0.901577,0.884444,0.850427,0.867102,0.765385
30,0.979757,1.000000,0.959514,0.979339,0.959514
31,0.907174,0.876000,0.872510,0.874251,0.776596
32,0.942901,1.000000,0.885802,0.939444,0.885802
33,0.905669,0.935606,0.845890,0.888489,0.799353
34,0.975442,0.916667,1.000000,0.956522,0.916667
35,0.896463,0.916667,0.837370,0.875226,0.778135
36,0.994186,1.000000,0.988372,0.994152,0.988372
37,0.971600,0.944251,0.974820,0.959292,0.921769
38,0.892473,0.909091,0.833333,0.869565,0.769231
39,0.918728,1.000000,0.837456,0.911538,0.837456
40,0.931973,0.980916,0.874150,0.924460,0.859532
41,0.987179,1.000000,0.974359,0.987013,0.974359
42,0.968735,0.995984,0.939394,0.966862,0.935849
43,0.893669,0.867925,0.821429,0.844037,0.730159
44,0.748524,0.726667,0.674923,0.699839,0.538272
45,0.947774,0.989899,0.899083,0.942308,0.890909
46,0.988189,0.958333,1.000000,0.978723,0.958333
47,0.904941,0.876812,0.876812,0.876812,0.780645
48,0.911810,0.810606,0.914530,0.859438,0.753521
49,0.935587,0.832090,0.952991,0.888446,0.799283
50,0.914024,0.900000,0.875486,0.887574,0.797872
51,0.948649,1.000000,0.897297,0.945869,0.897297
52,0.934879,0.848718,1.000000,0.918169,0.848718
53,0.823649,0.591111,0.796407,0.678571,0.513514
54,0.988212,0.958188,1.000000,0.978648,0.958188
55,0.906002,0.929167,0.844697,0.884921,0.793594
56,0.900735,0.902128,0.844622,0.872428,0.773723
57,0.979722,0.978339,0.971326,0.974820,0.950877
58,0.883101,0.862500,0.828000,0.844898,0.731449
59,0.933675,0.876316,0.973684,0.922438,0.856041
60,0.991379,1.000000,0.982759,0.991304,0.982759
61,0.918583,0.908108,0.865979,0.886544,0.796209
62,0.955826,0.931034,0.958065,0.944356,0.894578
63,0.870833,0.753623,0.866667,0.806202,0.675325
64,0.947477,0.851852,0.958333,0.901961,0.821429
65,0.932072,0.916058,0.909420,0.912727,0.839465
66,1.000000,1.000000,1.000000,1.000000,1.000000
67,0.977049,1.000000,0.954098,0.976510,0.954098
68,0.896897,0.870690,0.848739,0.859574,0.753731
69,0.896470,0.810127,0.872727,0.840263,0.724528
70,0.988333,1.000000,0.976667,0.988196,0.976667
71,0.963769,0.954198,0.950570,0.952381,0.909091
72,0.912996,0.836237,0.916031,0.874317,0.776699
73,0.927165,0.918269,0.884259,0.900943,0.819742
74,0.502367,0.227273,0.031847,0.055866,0.028736
75,0.960000,1.000000,0.920000,0.958333,0.920000
76,0.939693,0.972299,0.904639,0.937250,0.881910
77,0.957143,0.958333,0.938776,0.948454,0.901961
78,0.966957,0.936709,0.961039,0.948718,0.902439
79,0.929563,0.936330,0.892857,0.914077,0.841751
80,0.963455,0.975000,0.948649,0.961644,0.926121
81,0.828571,0.835878,0.744898,0.787770,0.649852
82,0.927905,0.969231,0.871972,0.918033,0.848485
83,0.956751,0.954545,0.936803,0.945591,0.896797
84,0.973874,0.973988,0.968391,0.971182,0.943978
85,0.978906,0.995816,0.959677,0.977413,0.955823
86,0.952019,0.975069,0.926316,0.950067,0.904884
87,0.930171,0.910256,0.898734,0.904459,0.825581
88,0.952855,0.976000,0.917293,0.945736,0.897059
89,0.948463,0.921569,0.946309,0.933775,0.875776
90,0.814487,0.802703,0.804878,0.803789,0.671946
91,0.947882,0.923077,0.939502,0.931217,0.871287
92,0.929688,0.952381,0.892857,0.921659,0.854701
93,0.949443,0.934066,0.918919,0.926431,0.862944
94,0.963861,0.975676,0.950000,0.962667,0.928021
95,0.977395,0.958188,0.978648,0.968310,0.938567
96,0.921835,0.878049,0.886700,0.882353,0.789474
97,0.988722,0.954545,1.000000,0.976744,0.954545
98,0.968045,1.000000,0.936090,0.966990,0.936090
99,0.924290,0.877395,0.908730,0.892788,0.806338
100,0.960885,0.966463,0.946269,0.956259,0.916185
101,0.968319,0.954338,0.954338,0.954338,0.912664
102,0.940668,0.890909,0.938697,0.914179,0.841924
103,0.900632,0.863636,0.870229,0.866920,0.765101
104,0.994297,0.977273,1.000000,0.988506,0.977273
105,0.626474,0.702703,0.314516,0.434540,0.277580
106,0.972670,0.982222,0.952586,0.967177,0.936441
107,0.871391,0.833333,0.833333,0.833333,0.714286
108,0.963887,0.945869,0.970760,0.958153,0.919668
109,0.968619,1.000000,0.937238,0.967603,0.937238
110,0.885151,0.847645,0.894737,0.870555,0.770781
111,0.945295,0.951923,0.908257,0.929577,0.868421
112,0.945689,0.928251,0.920000,0.924107,0.858921
113,0.866926,0.893333,0.804805,0.846761,0.734247
114,0.900735,0.871429,0.902367,0.886628,0.796345
115,0.954253,0.982558,0.913514,0.946779,0.898936
116,0.372796,0.101266,0.115385,0.107865,0.057007
117,0.932415,0.863095,0.960265,0.909091,0.833333
118,0.941778,0.850000,0.978417,0.909699,0.834356
119,0.951916,0.974638,0.918089,0.945518,0.896667
120,0.859526,0.877778,0.787375,0.830123,0.709581
121,0.826548,0.748000,0.769547,0.758621,0.611111
122,0.950930,0.904762,0.946058,0.924949,0.860377
123,0.792473,0.717391,0.772575,0.743961,0.592308
124,0.968918,0.982456,0.945148,0.963441,0.929461
125,0.818468,0.761610,0.798701,0.779715,0.638961
126,0.943214,0.897872,0.929515,0.913420,0.840637
127,0.987179,1.000000,0.974359,0.987013,0.974359
128,0.773571,0.833333,0.661157,0.737327,0.583942
129,0.954639,0.916667,0.956522,0.936170,0.880000
130,0.973930,0.905882,0.991416,0.946721,0.898833
131,0.928147,0.958333,0.878472,0.916667,0.846154
132,0.918291,0.972222,0.850694,0.907407,0.830508
133,0.954174,0.843750,0.991837,0.911820,0.837931
134,0.919318,0.976959,0.848000,0.907923,0.831373
135,0.750725,0.583333,0.696833,0.635052,0.465257
136,0.927385,0.947214,0.897222,0.921541,0.854497
137,0.982987,0.934066,1.000000,0.965909,0.934066
