round,area,perbuilding,fixbuilding
0,1.842,0.423,0.314
1,1.428,0.363,0.312
2,1.435,0.363,0.309
3,1.439,0.357,0.311
4,1.424,0.351,0.318
5,1.483,0.362,0.313
6,1.459,0.346,0.319
7,1.428,0.354,0.311
8,1.443,0.353,0.315
9,1.451,0.367,0.313
10,1.449,0.349,0.315
11,1.372,0.362,0.312
12,1.425,0.346,0.314
13,1.447,0.355,0.312
14,1.465,0.355,0.310
15,1.439,0.363,0.313
16,1.461,0.348,0.311
17,1.466,0.359,0.316
18,1.439,0.346,0.317
19,1.435,0.352,0.311
20,1.487,0.356,0.308
21,1.460,0.353,0.309
22,1.450,0.362,0.312
23,1.457,0.363,0.308
24,1.463,0.364,0.317
25,1.482,0.369,0.314
26,1.446,0.347,0.309
27,1.425,0.361,0.304
28,1.453,0.350,0.310
29,1.451,0.365,0.308
30,1.422,0.350,0.310
31,1.447,0.346,0.311
32,1.477,0.364,0.310
33,1.447,0.355,0.314
34,1.441,0.352,0.318
35,1.434,0.349,0.309
36,1.437,0.351,0.311
37,1.449,0.355,0.309
38,1.444,0.372,0.309
39,1.448,0.367,0.311
40,1.450,0.351,0.312
41,1.483,0.375,0.312
42,1.473,0.364,0.310
43,1.480,0.352,0.308
44,1.440,0.352,0.318
45,1.442,0.361,0.316
46,1.456,0.347,0.320
47,1.450,0.354,0.315
48,1.454,0.345,0.319
49,1.438,0.352,0.310
50,1.450,0.348,0.313
51,1.454,0.350,0.315
52,1.473,0.359,0.310
53,1.468,0.352,0.316
54,1.448,0.348,0.310
55,1.470,0.364,0.312
56,1.455,0.360,0.308
57,1.469,0.359,0.314
58,1.459,0.348,0.312
59,1.449,0.367,0.310
60,1.397,0.359,0.314
61,1.454,0.352,0.313
62,1.439,0.353,0.313
63,1.461,0.363,0.308
64,1.421,0.354,0.310
65,1.465,0.360,0.317
66,1.438,0.363,0.315
67,1.466,0.354,0.307
68,1.454,0.365,0.312
69,1.455,0.356,0.310
70,1.468,0.349,0.315
71,1.475,0.353,0.308
72,1.427,0.355,0.312
73,1.448,0.352,0.317
74,1.417,0.363,0.312
75,1.468,0.357,0.314
76,1.461,0.348,0.315
77,1.460,0.363,0.310
78,1.444,0.372,0.312
79,1.482,0.355,0.317
80,1.458,0.361,0.309
81,1.458,0.359,0.308
